"","baseMean","log2FoldChange","lfcSE","stat","pvalue"
"MSTRG.32429",76.2307656105825,-0.122867816889109,0.512176469289951,-0.239893521581429,0.810412803267361
"MSTRG.35430",155.608109088894,0.809276344450843,0.539560222704336,1.49988140414551,0.133645125770158
"MSTRG.32421",85.4591396866712,-0.379555346078453,0.529139529998532,-0.717306730191762,0.473184855405305
"MSTRG.34353",58.1110948583929,-0.103216151298279,0.404510408856451,-0.255163152884175,0.798597089007812
"MSTRG.57620",48.4868196522736,-0.289831577850885,0.469326063755763,-0.617548438566398,0.536873041983249
"MSTRG.209",62.5850024411291,-0.386552438027677,0.378270775808114,-1.02189347617952,0.306831320499552
"MSTRG.46733",969.084266232296,0.30243953909062,0.464835661317368,0.650637557009915,0.515280480376955
"MSTRG.202",69.5007160529286,0.0580105448250033,0.504126835190675,0.115071328831487,0.908388585193162
"MSTRG.41747",50.7310750244151,0.278341230026807,0.598119885843629,0.465360267422335,0.641673482554111
"MSTRG.9992",227.178257781149,-0.198984719255148,0.244141058341032,-0.815039963401786,0.415049435098083
"MSTRG.9994",632.522392065499,-0.0101086611369247,0.194518881360382,-0.0519675060139614,0.958554584858213
"MSTRG.20469",14.9511122739536,0.235317293808445,0.605811044886743,0.38843348234504,0.697695270263839
"MSTRG.554",87.968303919547,0.0456004940577454,0.455635158693214,0.100081157451787,0.920279894392999
"MSTRG.555",81.8468756161647,0.252019396939174,0.481450550368427,0.523458529118551,0.600655203190866
"MSTRG.557",23.1769071488601,0.156044804598974,0.521379174478496,0.299292361945711,0.764716981938587
"MSTRG.34748",1193.61492772811,-0.712121009346401,0.178216755094309,-3.99581402416153,6.44723332125229e-05
"MSTRG.34749",399.214022800946,-0.75501331622878,0.466626952683062,-1.61802337367681,0.105657560526781
"MSTRG.34746",15.4632946570906,0.159292963295562,0.655616058070625,0.24296684215505,0.808031084001457
"MSTRG.23426",27.4928162303541,-0.448010653668638,0.652463515255812,-0.686644759734936,0.492306615213998
"MSTRG.19847",51.0420650942672,-0.0142101191509576,0.658465472940676,-0.0215806594801333,0.98278246143853
"MSTRG.46064",135.477512655116,-0.477146175899728,0.329587178640495,-1.44770854821445,0.14769857824336
"MSTRG.19844",429.386648543534,0.00487983194945801,0.255277076679857,0.0191158250984589,0.984748707133865
"MSTRG.46065",161.248122324546,0.567850295217918,0.397397054311859,1.42892426870456,0.153026001278095
"MSTRG.26930",46.2718960923112,-0.434378028898711,0.397826702693836,-1.09187750836576,0.27488694492575
"MSTRG.50727",24.1752298531963,0.0438256168397303,0.637934329900771,0.068699260700623,0.945229006690731
